from,to,cost
0,4,0.6
0,5,0.6
0,6,0.6
1,4,0.6
1,5,0.6
1,6,0.6
2,4,0.6
2,5,0.6
2,6,0.6
3,4,0.6
3,5,0.6
3,6,0.6
0,7,1.1
0,8,1.1
0,9,1.1
0,10,1.1
1,7,1.1
1,8,1.1
1,9,1.1
1,10,1.1
2,7,1.1
2,8,1.1
2,9,1.1
2,10,1.1
3,7,1.1
3,8,1.1
3,9,1.1
3,10,1.1
0,11,5.7
0,12,5.7
0,13,5.7
0,14,5.7
1,11,5.7
1,12,5.7
1,13,5.7
1,14,5.7
2,11,5.7
2,12,5.7
2,13,5.7
2,14,5.7
3,11,5.7
3,12,5.7
3,13,5.7
3,14,5.7
4,7,1.2
4,8,1.2
4,9,1.2
4,10,1.2
5,7,1.2
5,8,1.2
5,9,1.2
5,10,1.2
6,7,1.2
6,8,1.2
6,9,1.2
6,10,1.2
4,11,5.2
4,12,5.2
4,13,5.2
4,14,5.2
5,11,5.2
5,12,5.2
5,13,5.2
5,14,5.2
6,11,5.2
6,12,5.2
6,13,5.2
6,14,5.2
7,11,4.6
7,12,4.6
7,13,4.6
7,14,4.6
8,11,4.6
8,12,4.6
8,13,4.6
8,14,4.6
9,11,4.6
9,12,4.6
9,13,4.6
9,14,4.6
10,11,4.6
10,12,4.6
10,13,4.6
10,14,4.6
0,1,0.05
0,2,0.05
0,3,0.05
1,0,0.05
1,2,0.05
1,3,0.05
2,0,0.05
2,1,0.05
2,3,0.05
3,0,0.05
3,1,0.05
3,2,0.05
4,5,0.05
4,6,0.05
5,4,0.05
5,6,0.05
6,4,0.05
6,5,0.05
7,8,0.05
7,9,0.05
7,10,0.05
8,7,0.05
8,9,0.05
8,10,0.05
9,7,0.05
9,8,0.05
9,10,0.05
10,7,0.05
10,8,0.05
10,9,0.05
11,12,0.05
11,13,0.05
11,14,0.05
12,11,0.05
12,13,0.05
12,14,0.05
13,11,0.05
13,12,0.05
13,14,0.05
14,11,0.05
14,12,0.05
14,13,0.05